"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","test_zero_baggage_weight","tests","Mon Apr 20 09:43:51 UTC 2026","passed","Mon Apr 20 09:43:51 UTC 2026","","test_ticketprice","",""
"","992","test_ticket_negative_scenarios[-economy-10-\u0437\u0430\u043f\u043e\u043b\u043d\u0438\u0442\u0435]","tests","Mon Apr 20 09:43:59 UTC 2026","passed","Mon Apr 20 09:44:00 UTC 2026","","test_ticket","",""
"","2","test_negative_baggage_weight","tests","Mon Apr 20 09:43:51 UTC 2026","passed","Mon Apr 20 09:43:51 UTC 2026","","test_ticketprice","",""
"","1","test_discount_zero","tests","Mon Apr 20 09:43:51 UTC 2026","passed","Mon Apr 20 09:43:51 UTC 2026","","test_ticketprice","",""
"","1009","test_ticket_negative_scenarios[ABC-economy-10-\u0444\u043e\u0440\u043c\u0430\u0442]","tests","Mon Apr 20 09:44:00 UTC 2026","passed","Mon Apr 20 09:44:02 UTC 2026","","test_ticket","",""
"","1","test_base_price_too_low","tests","Mon Apr 20 09:43:51 UTC 2026","passed","Mon Apr 20 09:43:51 UTC 2026","","test_ticketprice","",""
"","1","test_loyalty_service_failure","tests","Mon Apr 20 09:43:51 UTC 2026","passed","Mon Apr 20 09:43:51 UTC 2026","","test_ticketprice","",""
"","3830","test_ticket_success","tests","Mon Apr 20 09:43:52 UTC 2026","passed","Mon Apr 20 09:43:56 UTC 2026","","test_ticket","",""
"","830","test_ticket_negative_scenarios[AB123-economy--5-\u043e\u0442\u0440\u0438\u0446\u0430\u0442\u0435\u043b\u044c\u043d\u044b\u043c]","tests","Mon Apr 20 09:44:00 UTC 2026","passed","Mon Apr 20 09:44:00 UTC 2026","","test_ticket","",""
"","1","test_economy_with_baggage_fee","tests","Mon Apr 20 09:43:51 UTC 2026","passed","Mon Apr 20 09:43:51 UTC 2026","","test_ticketprice","",""
"","3","test_economy_without_baggage_fee","tests","Mon Apr 20 09:43:51 UTC 2026","passed","Mon Apr 20 09:43:51 UTC 2026","","test_ticketprice","",""
"","1","test_invalid_service_class","tests","Mon Apr 20 09:43:51 UTC 2026","passed","Mon Apr 20 09:43:51 UTC 2026","","test_ticketprice","",""
"","834","test_ticket_variants[25-economy-2250]","tests","Mon Apr 20 09:43:57 UTC 2026","passed","Mon Apr 20 09:43:58 UTC 2026","","test_ticket","",""
"","2","test_discount_applied_business_with_overweight","tests","Mon Apr 20 09:43:51 UTC 2026","passed","Mon Apr 20 09:43:51 UTC 2026","","test_ticketprice","",""
"","1","test_baggage_exactly_limit","tests","Mon Apr 20 09:43:51 UTC 2026","passed","Mon Apr 20 09:43:51 UTC 2026","","test_ticketprice","",""
"","2","test_base_price_min_limit","tests","Mon Apr 20 09:43:51 UTC 2026","passed","Mon Apr 20 09:43:51 UTC 2026","","test_ticketprice","",""
"","1","test_business_class_with_overweight","tests","Mon Apr 20 09:43:51 UTC 2026","passed","Mon Apr 20 09:43:51 UTC 2026","","test_ticketprice","",""
"","1","test_discount_applied_economy","tests","Mon Apr 20 09:43:51 UTC 2026","passed","Mon Apr 20 09:43:51 UTC 2026","","test_ticketprice","",""
"","846","test_ticket_variants[10-economy-1800]","tests","Mon Apr 20 09:43:56 UTC 2026","passed","Mon Apr 20 09:43:57 UTC 2026","","test_ticket","",""
"","917","test_ticket_variants[10-business-2700]","tests","Mon Apr 20 09:43:58 UTC 2026","passed","Mon Apr 20 09:43:59 UTC 2026","","test_ticket","",""
